id,tipo,bairro,area_lote,area_interna,salas,suites,quartos,vagas,preco
378,casa,Nossa Senhora da Abadia,250.0,167.0,1,2,3,4,570000.0
379,lote,Cyrela Landscape,422.0,0.0,0,0,0,0,350000.0
380,casa,Cyrela Landscape,396.75,278.72,1,1,3,4,2250000.0
381,casa,Nossa Senhora da Abadia,531.3,403.01,3,1,4,3,950000.0
382,casa,Mercês,0.0,110.0,1,1,3,2,680000.0
383,casa,Fabrício,264.0,160.05,1,2,3,2,820000.0
384,apartamento,Mercês,0.0,156.0,2,3,3,2,1200000.0
385,casa,Estância dos Ipês,491.0,258.0,1,3,3,4,2350000.0
386,terreno,Parque das Laranjeiras,250.0,0.0,0,0,0,0,140000.0
387,sobrado,Conjunto Morada do Sol,432.0,221.0,3,2,3,2,700000.0
388,terrenos,Espanha,998.43,0.0,0,0,0,0,750000.0
389,lote,Loteamento Lótus,370.0,0.0,0,0,0,0,400000.0
390,lote,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,180000.0
391,lote,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,210000.0
392,lote,Cyrela Landscape,396.75,0.0,0,0,0,0,380000.0
393,apartamento,Fabrício,0.0,78.0,1,1,3,1,370000.0
394,terreno,Cyrela Landscape II (Residencial Vitória),434.0,0.0,0,0,0,0,325380.0
395,terreno,Cyrela Landscape II (Residencial Vitória),750.0,0.0,0,0,0,0,562000.0
396,casa,Mercês,538.0,300.0,2,1,4,4,850000.0
